fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230903 011824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1807	TRUE	150523	0.0101253209194494	0.445286557987101	2359	886	11009	67185000	81
20230903 012051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	748	TRUE	150523	0.010065469424003	0.615033183522874	1716	1023	13065	69045000	82
20230903 012244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	516	TRUE	150523	0.0128541174089089	0.408294710295999	1609	69	12247	68985000	83
20230903 012501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	443	TRUE	150523	0.0112913332204683	0.751287957938134	649	330	13022	68700000	84
20230903 012730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	445	TRUE	150523	0.0101467667680594	0.746452130185387	630	934	13014	68490000	85
20230903 012753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	150523	0.0844363520839371	0.99880824330096	444	204	12923	66600000	86
20230903 013010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	474	TRUE	150523	0.0100206022847561	0.581670209639597	965	651	13370	68010000	87
20230903 013329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1299	TRUE	150523	0.0107079751303059	0.496897271527731	4076	168	15000	6.6e+07	88
20230903 013532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	534	TRUE	150523	0.0115490896837964	0.982166525613765	914	359	11809	67425000	89
20230903 013754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	322	TRUE	150523	0.0119069919191169	0.960625002757125	381	473	12241	68160000	90
20230903 014033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1057	TRUE	150523	0.0100325993504309	0.397985200482359	3580	1022	12217	67275000	91
20230903 014301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	797	TRUE	150523	0.0100764042804017	0.440525561700873	1752	771	11581	68700000	92
20230903 014333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	347	TRUE	150523	0.0490687624770075	0.754617726282755	1592	16	11240	68160000	93
20230903 014625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1351	TRUE	150523	0.0104307264536224	0.520244913123398	1675	19	11578	68835000	94
20230903 014849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	744	TRUE	150523	0.0106175571762812	0.570861563945079	1690	437	11363	68040000	95
20230903 014903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	150523	0.11488294046491	0.907134270613103	1594	31	11580	67260000	96
20230903 015149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1266	TRUE	150523	0.0105581107251357	0.205607757064438	1631	918	12208	68745000	97
20230903 015221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	150523	0.0436354065450906	0.974658315431639	2141	30	10833	67230000	98
20230903 015443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	150523	0.0100939596268605	0.600203510241266	1372	415	12938	69315000	99
20230903 015659	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	934	TRUE	150523	0.0109977103887908	0.249205256393197	1775	1023	11648	68745000	100
20230903 015934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1100	TRUE	150523	0.0101124126228234	0.760388306442507	2163	353	11599	67815000	101
20230903 020135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	595	TRUE	150523	0.0104777482761927	0.998177379035455	1560	949	12914	68070000	102
20230903 020409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1074	TRUE	150523	0.0116550570822991	0.232426869991471	1396	992	12964	68880000	103
20230903 020731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1466	TRUE	150523	0.0100613427747642	0.528424196991697	4847	816	13600	67200000	104
20230903 021254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3188	TRUE	150523	0.0106332959217748	0.579760033458425	7219	218	12149	67845000	105
20230903 021309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	150523	0.21455133972883	0.645287428001694	3997	74	10713	65550000	106
20230903 021525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	917	TRUE	150523	0.0100146469433422	0.220015809715119	1574	112	12164	69120000	107
20230903 021627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	348	TRUE	150523	0.0308743502092926	0.314937083206258	1503	210	11566	69225000	108
20230903 021948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1546	TRUE	150523	0.0100399581777417	0.500358058114462	7255	727	11589	66045000	109
20230903 022031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	127	TRUE	150523	0.0524902042342306	0.539178846357413	1616	981	14468	67845000	110
20230903 022057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	150523	0.0921403525090791	0.627628114844764	3117	207	11528	67305000	111
20230903 022151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	379	TRUE	150523	0.0334823674133905	0.226011860779661	1516	84	12286	67905000	112
20230903 022400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	823	TRUE	150523	0.0105366225711093	0.587752351954963	2252	636	13021	68700000	113
20230903 022455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	636	TRUE	150523	0.0379657971735681	0.86102645469315	6486	371	12320	66840000	114
20230903 022621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	610	TRUE	150523	0.0165745326470698	0.495101695260226	1657	17	12127	68505000	115
20230903 022656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	306	TRUE	150523	0.0315089996282017	0.996815504853389	647	28	12618	68595000	116
20230903 022739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	150523	0.0339997918682581	0.572122056829552	1586	381	11254	68250000	117
20230903 022810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	259	TRUE	150523	0.0517958154401559	0.687088236649757	3292	166	12576	66795000	118
20230903 022828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	150523	0.104144985048317	0.788312817769845	2027	523	12153	67110000	119
20230903 022846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	150523	0.112218712169092	0.360940466363322	2453	524	11196	66975000	120
