fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230915 131704	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	400	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.145042245524456	0.63801783974244	779	101	11313	67528226.3868066	43
20230915 132159	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	505	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.159392596078095	0.643386254764542	748	103	11294	67201958.0209895	44
20230915 132510	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.187421965619946	0.67386249591068	737	101	13323	64142424.2878561	45
20230915 132642	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	623	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0898114873366888	0.0113257057077371	836	3952	12977	64251188.9055472	46
20230915 132829	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	712	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.16680825037577	0.704172643849236	750	29830	13873	65710895.0524738	47
20230915 132919	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.175876176255053	0.782722043894684	243	27275	15327	59744337.3313343	48
20230915 133155	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	436	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.148730940943763	0.341774612440063	689	30023	14537	62933887.5562219	49
20230915 133402	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	950	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.163479619046226	0.99923559632461	768	31766	13918	64211037.4812594	50
20230915 133554	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	740	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.119957054935957	0.998732715598682	633	29080	14055	66075419.7901049	51
20230915 133641	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.150636343215466	0.0100340712059568	700	4774	12355	60967803.5982009	52
20230915 133752	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.125933074083417	0.708990117001246	749	29272	13973	63986187.4062968	53
20230915 134123	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	609	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.185274945185474	0.5318404537818	1004	29343	13077	64378595.2023988	54
20230915 134324	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	815	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0873523662072236	0.999579884128058	453	31156	12270	64031679.1604198	55
20230915 134903	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	914	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.152249502222332	0.588768231095831	242	101	12057	65690709.1454273	56
20230915 135249	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	671	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.266353198609709	0.538329856345908	8	6725	11719	63118502.2488756	57
20230915 135927	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1780	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0687047753451902	0.351806975327176	10	37158	14344	63182032.9835082	58
20230915 140547	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3963	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0610117500570488	0.727239029908644	840	37552	13149	64412190.4047976	59
20230915 141142	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3696	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.0539126560569409	0.878124885687737	128	40110	14202	63588662.6686657	60
20230915 141611	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	337	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.146699540061585	0.700293870443228	721	101	12291	64041002.9985007	61
20230915 142058	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.126186205753004	0.695607413589238	812	101	12096	66340065.9670165	62
20230915 142536	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.126186205753004	0.695607413589238	812	101	12096	66338986.5067466	63
20230915 143011	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.126186205753004	0.695607413589238	812	101	12096	66340065.9670165	64
20230915 143512	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	307	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.131315880074608	0.533994459753494	807	110	11914	66253502.2488756	65
20230915 144010	1452	174522	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	307	1	1	1	FALSE	1	0.1	50	0.5	TRUE	123457	0.131315880074608	0.533994459753494	807	110	11914	66253562.2188906	66
