Feature	Gain	Cover	Frequency	pos
canarito1404	1.48844870255656e-05	0.000233102899112594	0.000408948761125812	1769
mcaja_ahorro_dolares_rank_lag1	1.48168368701053e-05	0.000237168893085776	0.000192446475823911	1770
canarito633	1.47980259888662e-05	0.000162076211599071	0.000384892951647823	1771
canarito377	1.47950924417224e-05	0.000184088370239752	0.00045706038008179	1772
canarito188	1.47722465911812e-05	0.000130520378954809	0.000264613904257878	1773
canarito1367	1.46379473363467e-05	0.000198532088262298	0.000384892951647823	1774
canarito695	1.462865409439e-05	0.000169740455263005	0.000336781332691845	1775
cliente_antiguedad_lag2	1.44935095113887e-05	5.0226155628537e-05	0.000144334856867934	1776
canarito1442	1.43753889577773e-05	0.000190619883773943	0.000408948761125812	1777
mextraccion_autoservicio_rank_lag2	1.43510988639675e-05	0.000785596246499783	0.000336781332691845	1778
canarito838	1.43305432522326e-05	6.50502680976384e-05	0.000312725523213856	1779
canarito1124	1.42776394760893e-05	0.000178334552018519	0.000529227808515757	1780
canarito765	1.42093631197223e-05	0.000116634572787211	0.000264613904257878	1781
canarito1353	1.41755710293077e-05	6.21198219908402e-05	0.000240558094779889	1782
canarito223	1.41720964225395e-05	0.00012489899435571	0.0002165022853019	1783
canarito369	1.41569707397401e-05	0.000122822322451181	0.000336781332691845	1784
canarito1309	1.41307326972272e-05	0.000317682899870058	0.000360837142169834	1785
mtransferencias_emitidas_rank_tend6	1.41126365852764e-05	3.6872901686117e-05	9.62232379119557e-05	1786
canarito268	1.40709211080939e-05	2.73658582588696e-05	0.000192446475823911	1787
Master_mlimitecompra_rank_lag1	1.40656406195853e-05	4.3114188346269e-05	0.000168390666345923	1788
ccajas_transacciones_tend6	1.38371716315987e-05	0.000519773789510131	0.000192446475823911	1789
canarito76	1.3755975594422e-05	9.13679283259995e-05	0.000240558094779889	1790
Master_msaldototal_rank_delta1	1.36513265603067e-05	6.00177904565407e-06	2.40558094779889e-05	1791
canarito697	1.3563410803496e-05	0.000521811013101684	0.000745730093817657	1792
canarito397	1.3539182499246e-05	5.5151559277271e-05	0.000312725523213856	1793
canarito1023	1.35365474871925e-05	0.000140128860901137	0.000240558094779889	1794
canarito47	1.35013681150866e-05	8.59156079253701e-05	0.000264613904257878	1795
mautoservicio_rank_tend6	1.34829999741395e-05	0.000686403463521304	0.000408948761125812	1796
canarito258	1.34152487104967e-05	0.000181338259277988	0.000433004570603801	1797
mtransferencias_emitidas_rank	1.34035683333273e-05	5.30946115292299e-05	9.62232379119557e-05	1798
canarito646	1.33753524310403e-05	0.00010596943960045	0.000264613904257878	1799
canarito139	1.33671282344603e-05	0.000156792955396911	0.000312725523213856	1800
canarito590	1.32882775939656e-05	8.37910344979414e-05	0.000312725523213856	1801
canarito337	1.32420720345116e-05	4.3300158964585e-05	0.000144334856867934	1802
Visa_fechaalta_lag1	1.31857000637813e-05	0.000337818445907731	0.000264613904257878	1803
vm_msaldototal_rank_lag2	1.31673917013135e-05	3.28970752854513e-05	7.21674284339668e-05	1804
canarito1069	1.31673170495395e-05	0.000245413590497787	0.000408948761125812	1805
vmr_Visa_mlimitecompra_lag1	1.31582315287973e-05	7.47376466699195e-05	9.62232379119557e-05	1806
mpayroll_rank_lag1	1.30402468656358e-05	0.000161490122377712	0.000384892951647823	1807
canarito262	1.29933867169761e-05	0.000214007097895506	0.00045706038008179	1808
canarito83	1.29239671707189e-05	0.000123244982947354	0.000384892951647823	1809
Master_mpagominimo_rank_delta2	1.28856757644591e-05	4.9873938548393e-05	4.81116189559779e-05	1810
