envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
329	15693000	16653000	16053000	14613000	15693000	15453000	
330	15714000	16650000	16050000	14610000	15690000	15570000	
331	15711000	16647000	16047000	14607000	15687000	15567000	
332	15780000	16764000	16164000	14724000	15684000	15564000	
333	15825000	16761000	16281000	14721000	15801000	15561000	
334	15870000	16758000	16398000	14838000	15798000	15558000	
335	15915000	16755000	16515000	14955000	15795000	15555000	
336	15960000	16872000	16512000	14952000	15912000	15552000	
337	16005000	16989000	16629000	14949000	15909000	15549000	
338	16026000	16986000	16626000	14946000	15906000	15666000	
339	16095000	17103000	16743000	15063000	15903000	15663000	
340	16164000	17220000	16860000	15060000	15900000	15780000	
341	16161000	17217000	16857000	15057000	15897000	15777000	
342	16182000	17214000	16854000	15054000	16014000	15774000	
343	16251000	17331000	16971000	15051000	16011000	15891000	
344	16344000	17448000	16968000	15168000	16128000	16008000	
345	16389000	17445000	17085000	15285000	16125000	16005000	
346	16386000	17442000	17082000	15282000	16122000	16002000	
347	16407000	17439000	17079000	15279000	16119000	16119000	
348	16428000	17436000	17076000	15276000	16116000	16236000	
349	16449000	17553000	17073000	15273000	16113000	16233000	
350	16470000	17550000	17070000	15390000	16110000	16230000	
351	16539000	17667000	17187000	15507000	16107000	16227000	
352	16584000	17664000	17304000	15504000	16104000	16344000	
353	16605000	17781000	17301000	15501000	16101000	16341000	
354	16674000	17778000	17418000	15618000	16098000	16458000	
355	16695000	17775000	17535000	15615000	16095000	16455000	
356	16716000	17772000	17532000	15732000	16092000	16452000	
357	16785000	17769000	17529000	15849000	16209000	16569000	
358	16806000	17766000	17526000	15966000	16206000	16566000	
359	16851000	17883000	17523000	15963000	16203000	16683000	
360	16872000	17880000	17520000	15960000	16200000	16800000	
361	16941000	17877000	17637000	16077000	16317000	16797000	
362	17010000	17874000	17754000	16194000	16434000	16794000	
363	17055000	17871000	17751000	16311000	16431000	16911000	
364	17124000	17868000	17868000	16308000	16548000	17028000	
365	17169000	17865000	17985000	16305000	16665000	17025000	
366	17214000	17862000	18102000	16302000	16662000	17142000	
367	17283000	17979000	18219000	16299000	16659000	17259000	
368	17328000	17976000	18336000	16296000	16776000	17256000	
369	17373000	17973000	18453000	16293000	16893000	17253000	
370	17418000	17970000	18450000	16410000	17010000	17250000	
371	17463000	18087000	18567000	16407000	17007000	17247000	
372	17508000	18084000	18684000	16404000	17124000	17244000	
373	17529000	18081000	18681000	16401000	17121000	17361000	
374	17550000	18078000	18678000	16398000	17238000	17358000	
375	17571000	18075000	18795000	16395000	17235000	17355000	
376	17664000	18192000	18792000	16512000	17352000	17472000	
377	17733000	18309000	18789000	16629000	17469000	17469000	
378	17754000	18306000	18786000	16626000	17586000	17466000	
379	17823000	18423000	18783000	16623000	17703000	17583000	
380	17820000	18420000	18780000	16620000	17700000	17580000	
381	17889000	18537000	18777000	16737000	17697000	17697000	
382	17910000	18654000	18774000	16734000	17694000	17694000	
383	18003000	18651000	18891000	16851000	17811000	17811000	
384	18072000	18768000	19008000	16848000	17808000	17928000	
385	18117000	18765000	19005000	16965000	17805000	18045000	
386	18114000	18762000	19002000	16962000	17802000	18042000	
387	18159000	18879000	19119000	16959000	17799000	18039000	
388	18204000	18996000	19116000	17076000	17796000	18036000	
389	18249000	19113000	19113000	17193000	17793000	18033000	
390	18270000	19230000	19110000	17190000	17790000	18030000	
391	18291000	19227000	19107000	17307000	17787000	18027000	
392	18336000	19224000	19104000	17424000	17904000	18024000	
393	18381000	19341000	19101000	17541000	17901000	18021000	
394	18474000	19338000	19218000	17658000	18018000	18138000	
395	18567000	19455000	19215000	17775000	18135000	18255000	
396	18636000	19452000	19212000	17892000	18252000	18372000	
397	18681000	19449000	19209000	18009000	18249000	18489000	
398	18750000	19566000	19326000	18006000	18246000	18606000	
399	18795000	19563000	19323000	18123000	18243000	18723000	
400	18840000	19560000	19440000	18240000	18240000	18720000	
401	18885000	19557000	19557000	18357000	18237000	18717000	
402	18954000	19554000	19554000	18474000	18354000	18834000	
403	18975000	19551000	19551000	18471000	18351000	18951000	
404	18996000	19548000	19548000	18468000	18348000	19068000	
405	19017000	19545000	19545000	18465000	18345000	19185000	
406	19110000	19662000	19662000	18462000	18462000	19302000	
407	19107000	19659000	19659000	18459000	18459000	19299000	
408	19176000	19776000	19656000	18576000	18456000	19416000	
409	19245000	19773000	19773000	18573000	18573000	19533000	
410	19290000	19770000	19890000	18570000	18570000	19650000	
411	19335000	19767000	19887000	18567000	18687000	19767000	
412	19428000	19884000	19884000	18684000	18804000	19884000	
413	19449000	20001000	19881000	18681000	18801000	19881000	
414	19494000	20118000	19878000	18678000	18918000	19878000	
415	19539000	20235000	19995000	18675000	18915000	19875000	
416	19536000	20232000	19992000	18672000	18912000	19872000	
417	19581000	20349000	19989000	18669000	19029000	19869000	
418	19650000	20346000	19986000	18786000	19146000	19986000	
419	19671000	20463000	19983000	18783000	19143000	19983000	
420	19716000	20460000	20100000	18780000	19140000	20100000	
421	19761000	20457000	20097000	18777000	19257000	20217000	
422	19854000	20574000	20214000	18774000	19374000	20334000	
423	19899000	20571000	20211000	18891000	19371000	20451000	
424	19944000	20568000	20208000	19008000	19368000	20568000	
425	19989000	20565000	20325000	19125000	19365000	20565000	
426	20034000	20562000	20442000	19242000	19362000	20562000	
427	20103000	20679000	20559000	19359000	19359000	20559000	
428	20124000	20676000	20676000	19356000	19356000	20556000	
429	20217000	20673000	20793000	19473000	19473000	20673000	
430	20286000	20790000	20790000	19470000	19590000	20790000	
431	20331000	20787000	20907000	19467000	19587000	20907000	
432	20424000	20784000	21024000	19584000	19704000	21024000	
433	20517000	20781000	21141000	19701000	19821000	21141000	
434	20562000	20778000	21258000	19818000	19818000	21138000	
435	20559000	20775000	21255000	19815000	19815000	21135000	
436	20604000	20772000	21372000	19812000	19812000	21252000	
437	20625000	20769000	21369000	19809000	19809000	21369000	
438	20670000	20886000	21366000	19806000	19806000	21486000	
439	20763000	21003000	21483000	19803000	19923000	21603000	
440	20832000	2.1e+07	21480000	19920000	20040000	21720000	
441	20925000	21117000	21477000	20037000	20157000	21837000	
442	20922000	21114000	21474000	20034000	20154000	21834000	
443	20967000	21111000	21591000	20031000	20151000	21951000	
444	21036000	21108000	21708000	20028000	20268000	22068000	
445	21057000	21105000	21705000	20025000	20265000	22185000	
446	21078000	21102000	21822000	20022000	20262000	22182000	
447	21147000	21099000	21939000	20139000	20379000	22179000	
448	21144000	21096000	21936000	20136000	20376000	22176000	
449	21165000	21093000	22053000	20133000	20373000	22173000	
450	21186000	21210000	22050000	20130000	20370000	22170000	
451	21231000	21327000	22047000	20127000	20367000	22287000	
452	21252000	21324000	22044000	20244000	20364000	22284000	
453	21297000	21441000	22041000	20361000	20361000	22281000	
454	21390000	21438000	22158000	20478000	20478000	22398000	
455	21483000	21555000	22275000	20475000	20595000	22515000	
456	21552000	21672000	22272000	20472000	20712000	22632000	
457	21597000	21669000	22269000	20589000	20829000	22629000	
458	21618000	21666000	22266000	20706000	20826000	22626000	
459	21663000	21783000	22383000	20703000	20823000	22623000	
460	21684000	21900000	22380000	20700000	20820000	22620000	
461	21729000	22017000	22377000	20817000	20817000	22617000	
462	21798000	22014000	22374000	20934000	20934000	22734000	
463	21843000	22131000	22371000	20931000	21051000	22731000	
464	21888000	22128000	22488000	20928000	21168000	22728000	
465	21933000	22125000	22605000	20925000	21285000	22725000	
466	22002000	22122000	22722000	20922000	21402000	22842000	
467	22023000	22119000	22719000	20919000	21519000	22839000	
468	22092000	22236000	22716000	21036000	21516000	22956000	
469	22161000	22233000	22713000	21153000	21633000	23073000	
470	22206000	22230000	22830000	21150000	21750000	23070000	
471	22227000	22227000	22827000	21147000	21747000	23187000	
472	22224000	22224000	22824000	21144000	21744000	23184000	
473	22245000	22221000	22821000	21261000	21741000	23181000	
474	22314000	22338000	22818000	21378000	21738000	23298000	
475	22335000	22455000	22815000	21375000	21735000	23295000	
476	22428000	22572000	22932000	21492000	21852000	23292000	
477	22545000	22689000	23049000	21609000	21969000	23409000	
478	22590000	22806000	23046000	21606000	21966000	23526000	
479	22635000	22923000	23043000	21723000	21963000	23523000	
480	22656000	22920000	23040000	21720000	22080000	23520000	
481	22725000	23037000	23037000	21837000	22077000	23637000	
482	22746000	23034000	23034000	21954000	22074000	23634000	
483	22791000	23031000	23031000	22071000	22191000	23631000	
484	22860000	23148000	23148000	22068000	22308000	23628000	
485	22929000	23145000	23265000	22185000	22305000	23745000	
486	22998000	23142000	23382000	22302000	22302000	23862000	
487	22995000	23139000	23379000	22299000	22299000	23859000	
488	23064000	23256000	23496000	22416000	22296000	23856000	
489	23085000	23253000	23493000	22413000	22413000	23853000	
490	23106000	23250000	23490000	22530000	22410000	23850000	
491	23151000	23247000	23487000	22527000	22527000	23967000	
492	23220000	23364000	23604000	22524000	22644000	23964000	
493	23289000	23361000	23721000	22641000	22761000	23961000	
494	23334000	23358000	23838000	22758000	22758000	23958000	
495	23331000	23355000	23835000	22755000	22755000	23955000	
496	23352000	23472000	23832000	22752000	22752000	23952000	
497	23373000	23469000	23829000	22869000	22749000	23949000	
498	23394000	23466000	23946000	22866000	22746000	23946000	
499	23487000	23583000	24063000	22863000	22863000	24063000	
500	23580000	23580000	24180000	22980000	22980000	24180000	
501	23601000	23577000	24177000	23097000	22977000	24177000	
502	23598000	23574000	24174000	23094000	22974000	24174000	
503	23619000	23691000	24171000	23091000	22971000	24171000	
504	23616000	23688000	24168000	23088000	22968000	24168000	
505	23661000	23685000	24165000	23205000	23085000	24165000	
506	23706000	23682000	24162000	23322000	23082000	24282000	
507	23799000	23679000	24279000	23439000	23199000	24399000	
508	23820000	23676000	24276000	23436000	23196000	24516000	
509	23865000	23673000	24273000	23553000	23313000	24513000	
510	23862000	23670000	24270000	23550000	23310000	24510000	
511	23907000	23667000	24267000	23667000	23307000	24627000	
512	23976000	23664000	24384000	23784000	23304000	24744000	
513	24045000	23781000	24381000	23901000	23301000	24861000	
514	24066000	23898000	24378000	23898000	23298000	24858000	
515	24087000	24015000	24375000	23895000	23295000	24855000	
516	24084000	24012000	24372000	23892000	23292000	24852000	
517	24153000	24009000	24489000	23889000	23409000	24969000	
518	24198000	24006000	24606000	23886000	23526000	24966000	
